psar_step,psar_max,macd_fast,macd_slow,macd_sig,oos_sharpe,n_splits
0.01,0.3,8,26,7,6.057380028457344,6
0.01,0.2,8,26,7,6.057380028457344,6
0.01,0.2,8,21,9,6.041403209275572,6
0.01,0.3,8,21,9,6.041403209275572,6
0.02,0.3,8,26,7,6.037213460813103,6
0.02,0.2,8,26,7,6.037213460813103,6
0.01,0.1,8,26,7,6.031629201930914,6
0.01,0.1,8,21,9,5.912704403600171,6
0.01,0.1,8,21,7,5.8115343249255345,6
0.01,0.3,8,21,7,5.778822750909227,6
0.01,0.2,8,21,7,5.778822750909227,6
0.02,0.3,8,21,9,5.706597563226331,6
0.02,0.2,8,21,9,5.706597563226331,6
0.03,0.3,8,26,7,5.658767060494989,6
0.03,0.2,8,26,7,5.616765293666663,6
0.02,0.1,8,26,7,5.569327475738341,6
0.02,0.3,8,21,7,5.568298295922971,6
0.02,0.2,8,21,7,5.568298295922971,6
0.03,0.2,8,21,9,5.508600983826658,6
0.03,0.3,8,21,9,5.451897834806879,6
0.02,0.1,8,21,9,5.443998169279567,6
0.01,0.2,12,21,7,5.435101209315223,6
0.01,0.3,12,21,7,5.435101209315223,6
0.03,0.1,8,26,7,5.432774320825399,6
0.01,0.1,12,21,7,5.409232066786685,6
0.03,0.3,8,21,7,5.387910399274962,6
0.03,0.3,8,26,9,5.281946985696106,6
0.03,0.2,8,21,7,5.2816901075443,6
0.03,0.2,8,26,9,5.278192395797948,6
0.02,0.1,8,21,7,5.248213127806017,6
0.03,0.3,12,26,7,5.189697966236923,6
0.01,0.3,8,26,9,5.159007603601955,6
0.01,0.2,8,26,9,5.159007603601955,6
0.01,0.1,8,26,9,5.145104008444275,6
0.03,0.1,8,21,7,5.127052896620041,6
0.01,0.1,12,26,9,5.104220761224301,6
0.01,0.1,12,26,7,5.088146695458144,6
0.03,0.2,12,26,7,5.084209985024851,6
0.03,0.1,8,21,9,5.076921070422239,6
0.03,0.3,12,21,7,5.053230349483476,6
0.03,0.2,12,21,7,5.047832163069277,6
0.01,0.2,12,26,9,4.9924314256150035,6
0.01,0.3,12,26,9,4.9924314256150035,6
0.01,0.3,12,26,7,4.929856839238749,6
0.01,0.2,12,26,7,4.929856839238749,6
0.03,0.3,12,21,9,4.899279000711985,6
0.01,0.1,12,21,9,4.840799670994178,6
0.02,0.3,12,21,7,4.840626842143653,6
0.02,0.2,12,21,7,4.840626842143653,6
0.03,0.1,12,26,7,4.8183518854034455,6
0.03,0.2,12,21,9,4.796624433227255,6
0.03,0.1,8,26,9,4.778713437829868,6
0.03,0.3,12,26,9,4.752841754755899,6
0.01,0.2,12,21,9,4.702688291033271,6
0.01,0.3,12,21,9,4.702688291033271,6
0.02,0.2,8,26,9,4.670899396543051,6
0.02,0.3,8,26,9,4.670899396543051,6
0.03,0.2,12,26,9,4.644516197609209,6
0.02,0.1,8,26,9,4.547446279196601,6
0.02,0.1,12,21,7,4.538796435615952,6
0.03,0.1,12,21,7,4.490403624469368,6
0.03,0.1,12,26,9,4.263233044784049,6
0.02,0.3,12,26,7,4.163262842609908,6
0.02,0.2,12,26,7,4.163262842609908,6
0.02,0.1,12,26,7,4.126404757300704,6
0.02,0.1,12,26,9,4.0709545982389,6
0.03,0.1,12,21,9,4.032612619184822,6
0.02,0.2,12,21,9,3.831718169863942,6
0.02,0.3,12,21,9,3.831718169863942,6
0.02,0.2,12,26,9,3.7979346208833262,6
0.02,0.3,12,26,9,3.7979346208833262,6
0.02,0.1,12,21,9,3.6827871258365725,6
